,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.8769230769230769,0.8592964824120602,0.868020304568528,199,"[('location', 12), ('name', 4), ('description', 3), ('code', 1), ('operator', 1)]","[('location', 6), ('name', 5), ('class', 5), ('country', 3), ('city', 2)]"
1,affiliate,1.0,0.21428571428571427,0.35294117647058826,14,[],"[('country', 3), ('teamName', 1), ('notes', 1), ('team', 1), ('name', 1)]"
2,affiliation,1.0,0.9,0.9473684210526316,40,[],"[('status', 1), ('company', 1), ('year', 1), ('team', 1)]"
3,age,0.971654581410679,0.9826666666666667,0.9771295989393438,1500,"[('rank', 17), ('weight', 4), ('position', 3), ('year', 2), ('state', 2)]","[('position', 3), ('duration', 3), ('day', 2), ('rank', 2), ('weight', 2)]"
4,album,0.78,0.8096885813148789,0.7945670628183361,289,"[('name', 18), ('artist', 15), ('category', 6), ('description', 5), ('notes', 3)]","[('artist', 24), ('name', 13), ('publisher', 2), ('category', 2), ('team', 2)]"
5,area,0.8292682926829268,0.576271186440678,0.6799999999999999,59,"[('range', 1), ('location', 1), ('code', 1), ('description', 1), ('type', 1)]","[('description', 4), ('city', 4), ('rank', 3), ('team', 3), ('name', 2)]"
6,artist,0.7855421686746988,0.7836538461538461,0.7845968712394705,416,"[('album', 24), ('name', 20), ('type', 7), ('category', 4), ('description', 3)]","[('name', 45), ('album', 15), ('team', 5), ('description', 5), ('type', 5)]"
7,birthDate,0.9,0.8181818181818182,0.8571428571428572,11,"[('day', 1)]","[('day', 1), ('notes', 1)]"
8,birthPlace,0.9285714285714286,0.8666666666666667,0.896551724137931,15,"[('location', 1)]","[('location', 1), ('name', 1)]"
9,brand,0.631578947368421,0.41379310344827586,0.5,29,"[('manufacturer', 3), ('description', 1), ('category', 1), ('name', 1), ('team', 1)]","[('type', 4), ('artist', 3), ('location', 2), ('company', 2), ('team', 2)]"
10,capacity,0.7142857142857143,0.38461538461538464,0.5,13,"[('status', 1), ('category', 1)]","[('rank', 2), ('description', 1), ('code', 1), ('range', 1), ('owner', 1)]"
11,category,0.9273885350318471,0.9191919191919192,0.9232720355104629,792,"[('type', 13), ('name', 7), ('notes', 5), ('description', 4), ('artist', 3)]","[('type', 15), ('name', 8), ('album', 6), ('artist', 4), ('status', 4)]"
12,city,0.9131221719457013,0.9333950046253469,0.9231473010064043,1081,"[('location', 29), ('team', 20), ('name', 16), ('county', 9), ('state', 6)]","[('location', 22), ('team', 14), ('name', 13), ('county', 5), ('state', 5)]"
13,class,0.8576051779935275,0.8333333333333334,0.8452950558213717,318,"[('year', 6), ('type', 5), ('address', 5), ('code', 3), ('language', 3)]","[('name', 12), ('year', 8), ('rank', 8), ('type', 6), ('description', 3)]"
14,classification,1.0,0.7058823529411765,0.8275862068965517,17,[],"[('location', 1), ('album', 1), ('category', 1), ('language', 1), ('name', 1)]"
15,club,0.9315673289183223,0.9213973799126638,0.9264544456641055,458,"[('team', 12), ('rank', 2), ('symbol', 2), ('status', 2), ('notes', 2)]","[('team', 20), ('notes', 4), ('country', 3), ('state', 2), ('artist', 1)]"
16,code,0.9460966542750929,0.9305301645338209,0.9382488479262673,547,"[('symbol', 6), ('weight', 3), ('currency', 2), ('area', 2), ('order', 2)]","[('type', 6), ('team', 6), ('symbol', 6), ('class', 3), ('name', 3)]"
17,collection,0.8571428571428571,0.6666666666666666,0.75,18,"[('status', 1), ('location', 1)]","[('team', 2), ('category', 1), ('artist', 1), ('species', 1), ('area', 1)]"
18,command,0.6,0.5454545454545454,0.5714285714285713,11,"[('year', 1), ('code', 1), ('depth', 1), ('category', 1)]","[('name', 3), ('duration', 1), ('type', 1)]"
19,company,0.8956228956228957,0.8134556574923547,0.8525641025641025,327,"[('name', 18), ('position', 2), ('brand', 2), ('type', 2), ('manufacturer', 2)]","[('name', 33), ('manufacturer', 6), ('location', 3), ('type', 3), ('country', 2)]"
20,component,0.8148148148148148,0.5789473684210527,0.6769230769230768,38,"[('description', 2), ('name', 1), ('brand', 1), ('owner', 1)]","[('name', 5), ('type', 4), ('description', 2), ('class', 1), ('status', 1)]"
21,continent,1.0,0.8,0.888888888888889,10,[],"[('country', 2)]"
22,country,0.8067010309278351,0.855191256830601,0.8302387267904509,366,"[('team', 28), ('nationality', 7), ('location', 4), ('address', 3), ('affiliate', 3)]","[('team', 32), ('location', 4), ('status', 3), ('origin', 3), ('type', 2)]"
23,county,0.9262295081967213,0.875968992248062,0.9003984063745021,129,"[('city', 5), ('state', 2), ('club', 1), ('team', 1)]","[('city', 9), ('team', 2), ('state', 2), ('location', 1), ('name', 1)]"
24,creator,1.0,0.4444444444444444,0.6153846153846153,9,[],"[('name', 3), ('artist', 1), ('team', 1)]"
