,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.8086124401913876,0.8492462311557789,0.8284313725490197,199,"[('location', 11), ('name', 10), ('team', 4), ('type', 3), ('description', 2)]","[('city', 9), ('location', 6), ('name', 3), ('class', 3), ('notes', 2)]"
1,affiliate,0.0,0.0,0.0,14,[],"[('notes', 6), ('class', 4), ('description', 1), ('team', 1), ('type', 1)]"
2,affiliation,0.9722222222222222,0.875,0.9210526315789473,40,"[('service', 1)]","[('year', 2), ('state', 1), ('company', 1), ('city', 1)]"
3,age,0.9528487229862476,0.97,0.9613478691774034,1500,"[('rank', 29), ('position', 13), ('weight', 5), ('duration', 4), ('year', 3)]","[('rank', 11), ('position', 10), ('notes', 4), ('depth', 3), ('duration', 3)]"
4,album,0.802158273381295,0.7716262975778547,0.7865961199294533,289,"[('name', 19), ('artist', 11), ('description', 3), ('category', 3), ('notes', 3)]","[('artist', 21), ('name', 14), ('team', 5), ('description', 5), ('status', 4)]"
5,area,0.8421052631578947,0.5423728813559322,0.6597938144329897,59,"[('publisher', 1), ('description', 1), ('code', 1), ('address', 1), ('county', 1)]","[('name', 4), ('type', 4), ('rank', 3), ('team', 3), ('description', 2)]"
6,artist,0.7699530516431925,0.7884615384615384,0.7790973871733967,416,"[('name', 29), ('album', 21), ('company', 4), ('type', 4), ('category', 3)]","[('name', 43), ('album', 11), ('type', 7), ('team', 7), ('location', 5)]"
7,birthDate,0.9090909090909091,0.9090909090909091,0.9090909090909091,11,"[('class', 1)]","[('category', 1)]"
8,birthPlace,1.0,0.8,0.888888888888889,15,[],"[('location', 2), ('notes', 1)]"
9,brand,0.5789473684210527,0.3793103448275862,0.45833333333333337,29,"[('manufacturer', 2), ('company', 2), ('category', 1), ('area', 1), ('type', 1)]","[('credit', 2), ('name', 2), ('company', 2), ('location', 2), ('type', 2)]"
10,capacity,0.6,0.46153846153846156,0.5217391304347826,13,"[('state', 2), ('city', 1), ('status', 1)]","[('age', 2), ('description', 1), ('result', 1), ('rank', 1), ('duration', 1)]"
11,category,0.8814993954050786,0.9204545454545454,0.900555898702903,792,"[('type', 23), ('description', 13), ('component', 9), ('name', 8), ('status', 7)]","[('type', 17), ('name', 10), ('status', 5), ('description', 3), ('artist', 3)]"
12,city,0.8925693822739481,0.9222941720629048,0.9071883530482258,1081,"[('location', 31), ('team', 24), ('name', 17), ('county', 9), ('address', 9)]","[('location', 27), ('team', 18), ('name', 17), ('notes', 4), ('county', 4)]"
13,class,0.7752442996742671,0.7484276729559748,0.7615999999999999,318,"[('year', 7), ('notes', 6), ('code', 5), ('artist', 5), ('description', 4)]","[('notes', 18), ('name', 16), ('year', 11), ('rank', 10), ('description', 4)]"
14,classification,1.0,0.5294117647058824,0.6923076923076924,17,[],"[('category', 2), ('description', 2), ('year', 1), ('team', 1), ('notes', 1)]"
15,club,0.899343544857768,0.8973799126637555,0.8983606557377051,458,"[('team', 31), ('symbol', 5), ('teamName', 2), ('class', 1), ('artist', 1)]","[('team', 29), ('type', 5), ('notes', 2), ('state', 2), ('class', 2)]"
16,code,0.9542857142857143,0.9159049360146252,0.9347014925373134,547,"[('symbol', 6), ('class', 3), ('name', 3), ('area', 2), ('rank', 2)]","[('rank', 10), ('symbol', 9), ('class', 5), ('team', 5), ('name', 3)]"
17,collection,0.9,0.5,0.6428571428571429,18,"[('description', 1)]","[('category', 2), ('team', 2), ('description', 1), ('artist', 1), ('name', 1)]"
18,command,0.2777777777777778,0.45454545454545453,0.3448275862068966,11,"[('description', 7), ('name', 2), ('age', 1), ('rank', 1), ('service', 1)]","[('name', 3), ('type', 2), ('description', 1)]"
19,company,0.8912280701754386,0.7767584097859327,0.8300653594771242,327,"[('name', 11), ('description', 5), ('manufacturer', 4), ('owner', 3), ('brand', 2)]","[('name', 33), ('manufacturer', 10), ('team', 8), ('artist', 4), ('type', 3)]"
20,component,0.7333333333333333,0.2894736842105263,0.4150943396226416,38,"[('description', 3), ('brand', 1)]","[('category', 9), ('description', 8), ('type', 5), ('notes', 1), ('position', 1)]"
21,continent,1.0,0.7,0.8235294117647058,10,[],"[('country', 2), ('company', 1)]"
22,country,0.834733893557423,0.8142076502732241,0.8243430152143846,366,"[('team', 26), ('nationality', 11), ('location', 4), ('region', 2), ('continent', 2)]","[('team', 38), ('notes', 7), ('state', 5), ('type', 4), ('location', 3)]"
23,county,0.8770491803278688,0.8294573643410853,0.8525896414342631,129,"[('team', 7), ('city', 4), ('state', 3), ('symbol', 1)]","[('city', 9), ('team', 4), ('name', 2), ('location', 2), ('album', 1)]"
24,creator,1.0,0.4444444444444444,0.6153846153846153,9,[],"[('name', 3), ('artist', 1), ('album', 1)]"
25,credit,0.5333333333333333,0.3333333333333333,0.4102564102564102,24,"[('brand', 2), ('category', 2), ('type', 1), ('position', 1), ('artist', 1)]","[('name', 8), ('position', 3), ('artist', 2), ('age', 1), ('type', 1)]"
26,currency,0.8666666666666667,0.7647058823529411,0.8125,17,"[('symbol', 1), ('name', 1)]","[('symbol', 2), ('team', 1), ('country', 1)]"
27,day,0.9801980198019802,0.7857142857142857,0.8722466960352424,126,"[('duration', 1), ('position', 1)]","[('rank', 13), ('class', 2), ('sex', 2), ('artist', 2), ('year', 2)]"
28,depth,0.5555555555555556,0.8823529411764706,0.6818181818181819,17,"[('age', 3), ('position', 3), ('weight', 2), ('rank', 2), ('area', 1)]","[('age', 1), ('rank', 1)]"
29,description,0.9045553145336226,0.9140727750986409,0.9092891408634975,2281,"[('name', 62), ('notes', 48), ('type', 11), ('location', 10), ('product', 9)]","[('name', 58), ('notes', 22), ('type', 14), ('location', 13), ('category', 13)]"
30,director,0.0,0.0,0.0,4,[],"[('name', 4)]"
31,duration,0.8881118881118881,0.8698630136986302,0.878892733564014,146,"[('age', 3), ('rank', 2), ('weight', 2), ('elevation', 2), ('capacity', 1)]","[('year', 4), ('age', 4), ('rank', 2), ('location', 2), ('position', 2)]"
32,education,1.0,0.8,0.888888888888889,10,[],"[('description', 2)]"
33,elevation,0.926829268292683,0.76,0.8351648351648352,50,"[('rank', 2), ('weight', 1)]","[('rank', 10), ('duration', 2)]"
34,family,1.0,0.6521739130434783,0.7894736842105263,23,[],"[('rank', 3), ('type', 2), ('status', 2), ('city', 1)]"
35,fileSize,0.8723404255319149,0.7884615384615384,0.8282828282828283,52,"[('rank', 4), ('plays', 1), ('sales', 1)]","[('rank', 7), ('year', 2), ('code', 1), ('address', 1)]"
36,format,0.9411764705882353,0.8549618320610687,0.896,131,"[('type', 3), ('country', 1), ('result', 1), ('genre', 1), ('description', 1)]","[('description', 4), ('type', 3), ('weight', 3), ('name', 2), ('product', 2)]"
37,gender,0.9900990099009901,0.9009009009009009,0.9433962264150942,111,"[('type', 1)]","[('sex', 5), ('type', 3), ('category', 1), ('rank', 1), ('description', 1)]"
38,genre,0.7037037037037037,0.6129032258064516,0.6551724137931035,31,"[('category', 3), ('description', 2), ('format', 1), ('name', 1), ('brand', 1)]","[('type', 4), ('album', 2), ('description', 2), ('weight', 1), ('location', 1)]"
39,grades,1.0,1.0,1.0,39,[],[]
40,industry,0.8461538461538461,0.9565217391304348,0.8979591836734695,92,"[('description', 5), ('name', 4), ('position', 2), ('category', 2), ('product', 1)]","[('category', 2), ('position', 2)]"
41,isbn,1.0,0.9743589743589743,0.9870129870129869,39,[],"[('code', 1)]"
42,jockey,0.9354838709677419,0.7945205479452054,0.8592592592592593,73,"[('name', 2), ('owner', 1), ('artist', 1)]","[('name', 13), ('artist', 2)]"
43,language,0.8823529411764706,0.7792207792207793,0.8275862068965517,77,"[('status', 2), ('description', 2), ('order', 1), ('address', 1), ('position', 1)]","[('notes', 7), ('class', 4), ('team', 3), ('name', 1), ('type', 1)]"
44,location,0.8763600395647874,0.8711897738446411,0.873767258382643,1017,"[('city', 27), ('name', 14), ('description', 13), ('team', 6), ('type', 6)]","[('city', 31), ('team', 22), ('name', 17), ('address', 11), ('description', 10)]"
45,manufacturer,0.4594594594594595,0.4722222222222222,0.4657534246575342,36,"[('company', 10), ('name', 3), ('format', 1), ('brand', 1), ('position', 1)]","[('name', 5), ('company', 4), ('brand', 2), ('status', 1), ('team', 1)]"
46,name,0.8844984802431611,0.9165354330708662,0.9002320185614849,3175,"[('description', 58), ('artist', 43), ('company', 33), ('type', 28), ('team', 25)]","[('description', 62), ('artist', 29), ('team', 23), ('album', 19), ('city', 17)]"
47,nationality,0.6666666666666666,0.2222222222222222,0.3333333333333333,18,"[('language', 1), ('location', 1)]","[('country', 11), ('location', 1), ('type', 1), ('language', 1)]"
48,notes,0.6279683377308707,0.7345679012345679,0.6770981507823614,324,"[('description', 22), ('class', 18), ('status', 9), ('team', 9), ('type', 8)]","[('description', 48), ('class', 6), ('name', 5), ('status', 4), ('type', 3)]"
49,operator,0.5,0.16666666666666666,0.25,6,"[('symbol', 1)]","[('artist', 2), ('address', 1), ('album', 1), ('description', 1)]"
50,order,0.8571428571428571,0.5660377358490566,0.6818181818181818,53,"[('description', 1), ('country', 1), ('result', 1), ('ranking', 1), ('weight', 1)]","[('rank', 12), ('notes', 5), ('type', 2), ('language', 1), ('name', 1)]"
51,organisation,1.0,1.0,1.0,3,[],[]
52,origin,0.9393939393939394,0.6739130434782609,0.7848101265822786,46,"[('category', 1), ('region', 1)]","[('team', 7), ('description', 3), ('location', 1), ('species', 1), ('city', 1)]"
53,owner,0.875,0.5121951219512195,0.6461538461538462,41,"[('status', 1), ('artist', 1), ('name', 1)]","[('name', 10), ('company', 3), ('state', 1), ('jockey', 1), ('artist', 1)]"
54,person,0.0,0.0,0.0,9,[],"[('name', 4), ('description', 2), ('class', 1), ('weight', 1), ('notes', 1)]"
55,plays,0.8125,0.5531914893617021,0.6582278481012658,47,"[('rank', 3), ('position', 1), ('code', 1), ('age', 1)]","[('rank', 14), ('age', 3), ('result', 1), ('fileSize', 1), ('region', 1)]"
56,position,0.863517060367454,0.7633410672853829,0.8103448275862069,431,"[('rank', 17), ('age', 10), ('credit', 3), ('industry', 2), ('name', 2)]","[('rank', 45), ('age', 13), ('type', 10), ('name', 5), ('description', 4)]"
57,product,0.65625,0.56,0.60431654676259,75,"[('name', 9), ('description', 6), ('type', 3), ('format', 2), ('notes', 2)]","[('name', 9), ('description', 9), ('type', 3), ('category', 2), ('rank', 1)]"
58,publisher,0.7021276595744681,0.7333333333333333,0.7173913043478262,45,"[('description', 3), ('name', 3), ('album', 2), ('notes', 2), ('location', 1)]","[('name', 4), ('team', 2), ('artist', 2), ('location', 1), ('category', 1)]"
59,range,1.0,0.375,0.5454545454545454,8,[],"[('position', 1), ('name', 1), ('result', 1), ('type', 1), ('duration', 1)]"
60,rank,0.8197026022304833,0.8945233265720081,0.8554801163918526,986,"[('position', 45), ('plays', 14), ('year', 14), ('day', 13), ('order', 12)]","[('age', 29), ('position', 17), ('region', 10), ('type', 6), ('location', 5)]"
61,ranking,0.0,0.0,0.0,12,[],"[('rank', 7), ('weight', 1), ('position', 1), ('result', 1), ('order', 1)]"
62,region,0.6567164179104478,0.6285714285714286,0.6423357664233577,70,"[('rank', 10), ('location', 3), ('class', 2), ('country', 1), ('sales', 1)]","[('city', 4), ('location', 4), ('rank', 3), ('type', 3), ('country', 2)]"
63,religion,1.0,1.0,1.0,6,[],[]
64,requirement,0.0,0.0,0.0,8,"[('description', 1), ('notes', 1)]","[('description', 5), ('type', 1), ('notes', 1), ('country', 1)]"
