,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.9907407407407407,0.9385964912280702,0.9639639639639639,114,"[('manufacturer', 1)]","[('location', 3), ('name', 2), ('position', 1), ('code', 1)]"
1,affiliate,0.0,0.0,0.0,1,"[('type', 1), ('classification', 1)]","[('class', 1)]"
2,affiliation,0.9743589743589743,0.9743589743589743,0.9743589743589743,39,"[('education', 1)]","[('city', 1)]"
3,age,0.9855907780979827,0.9846449136276392,0.985117618819011,1042,"[('rank', 5), ('weight', 4), ('plays', 2), ('position', 1), ('category', 1)]","[('rank', 4), ('name', 2), ('state', 2), ('duration', 1), ('status', 1)]"
4,album,0.9387096774193548,0.9635761589403974,0.9509803921568628,302,"[('name', 6), ('artist', 4), ('type', 2), ('team', 1), ('region', 1)]","[('artist', 4), ('name', 2), ('team', 1), ('publisher', 1), ('symbol', 1)]"
5,area,0.5833333333333334,0.7,0.6363636363636365,10,"[('name', 2), ('plays', 1), ('region', 1), ('range', 1)]","[('rank', 1), ('class', 1), ('range', 1)]"
6,artist,0.9156626506024096,0.9440993788819876,0.9296636085626911,322,"[('name', 8), ('album', 4), ('creator', 2), ('owner', 2), ('team', 2)]","[('name', 9), ('album', 4), ('class', 1), ('credit', 1), ('city', 1)]"
7,birthDate,1.0,1.0,1.0,10,[],[]
8,birthPlace,0.8461538461538461,1.0,0.9166666666666666,11,"[('city', 1), ('status', 1)]",[]
9,brand,0.8888888888888888,0.7272727272727273,0.7999999999999999,11,"[('service', 1)]","[('team', 1), ('company', 1), ('type', 1)]"
10,capacity,0.4,0.6666666666666666,0.5,3,"[('state', 2), ('city', 1)]","[('notes', 1)]"
11,category,0.9430051813471503,0.9629629629629629,0.9528795811518324,378,"[('type', 7), ('city', 3), ('description', 3), ('name', 2), ('position', 2)]","[('type', 5), ('name', 2), ('country', 1), ('age', 1), ('manufacturer', 1)]"
12,city,0.9740990990990991,0.9719101123595506,0.9730033745781778,890,"[('name', 6), ('location', 4), ('region', 3), ('team', 2), ('state', 2)]","[('location', 6), ('category', 3), ('class', 2), ('county', 2), ('notes', 2)]"
13,class,0.88,0.9201520912547528,0.8996282527881041,263,"[('notes', 7), ('country', 2), ('result', 2), ('status', 2), ('city', 2)]","[('notes', 9), ('name', 4), ('rank', 3), ('year', 3), ('description', 1)]"
14,classification,1.0,0.5,0.6666666666666666,6,[],"[('status', 1), ('team', 1), ('affiliate', 1)]"
15,club,0.9872773536895675,0.9822784810126582,0.9847715736040609,395,"[('team', 2), ('name', 1), ('teamName', 1), ('status', 1)]","[('team', 3), ('state', 1), ('city', 1), ('artist', 1), ('notes', 1)]"
16,code,0.9837728194726166,0.9857723577235772,0.9847715736040609,492,"[('symbol', 2), ('name', 1), ('address', 1), ('component', 1), ('format', 1)]","[('symbol', 3), ('name', 2), ('position', 1), ('elevation', 1)]"
17,collection,1.0,0.9090909090909091,0.9523809523809523,11,[],"[('location', 1)]"
18,command,0.36363636363636365,0.5714285714285714,0.4444444444444444,7,"[('name', 3), ('description', 3), ('type', 1)]","[('type', 2), ('publisher', 1)]"
19,company,0.9724770642201835,0.933920704845815,0.9528089887640451,227,"[('name', 3), ('description', 1), ('brand', 1), ('album', 1)]","[('name', 5), ('manufacturer', 4), ('type', 2), ('artist', 1), ('product', 1)]"
20,component,0.9444444444444444,0.85,0.8947368421052632,20,"[('description', 1)]","[('name', 1), ('code', 1), ('rank', 1)]"
21,continent,0.875,1.0,0.9333333333333333,7,"[('team', 1)]",[]
22,country,0.9436619718309859,0.9095022624434389,0.9262672811059908,221,"[('team', 5), ('nationality', 4), ('category', 1), ('region', 1), ('city', 1)]","[('team', 12), ('class', 2), ('description', 2), ('status', 1), ('origin', 1)]"
23,county,0.9651162790697675,0.9325842696629213,0.9485714285714285,89,"[('city', 2), ('symbol', 1)]","[('team', 2), ('city', 1), ('type', 1), ('state', 1), ('location', 1)]"
24,creator,1.0,0.5,0.6666666666666666,4,[],"[('artist', 2)]"
25,credit,0.7647058823529411,0.8666666666666667,0.8125,15,"[('artist', 1), ('type', 1), ('category', 1), ('name', 1)]","[('name', 2)]"
26,currency,1.0,0.6666666666666666,0.8,3,[],"[('type', 1)]"
27,day,1.0,0.8222222222222222,0.9024390243902439,45,[],"[('rank', 2), ('artist', 1), ('type', 1), ('year', 1), ('age', 1)]"
28,depth,0.6666666666666666,0.5714285714285714,0.6153846153846153,7,"[('age', 1), ('product', 1)]","[('rank', 1), ('type', 1), ('class', 1)]"
29,description,0.9803030303030303,0.975867269984917,0.9780801209372638,1326,"[('notes', 12), ('name', 5), ('country', 2), ('class', 1), ('genre', 1)]","[('notes', 5), ('name', 4), ('product', 3), ('category', 3), ('location', 3)]"
30,director,1.0,0.3333333333333333,0.5,3,[],"[('name', 2)]"
31,duration,0.9302325581395349,0.9523809523809523,0.9411764705882352,42,"[('age', 1), ('elevation', 1), ('day', 1)]","[('status', 1), ('album', 1)]"
32,education,0.0,0.0,0.0,1,[],"[('affiliation', 1)]"
33,elevation,0.9,0.8780487804878049,0.888888888888889,41,"[('position', 2), ('rank', 1), ('code', 1)]","[('rank', 3), ('plays', 1), ('duration', 1)]"
34,family,1.0,0.6,0.7499999999999999,5,[],"[('status', 1), ('rank', 1)]"
35,fileSize,0.8,0.8,0.8000000000000002,5,"[('rank', 1)]","[('rank', 1)]"
36,format,1.0,0.9620253164556962,0.9806451612903226,79,[],"[('notes', 1), ('type', 1), ('code', 1)]"
37,gender,1.0,0.9658119658119658,0.9826086956521739,117,[],"[('sex', 3), ('notes', 1)]"
38,genre,0.96,0.8571428571428571,0.9056603773584904,28,"[('manufacturer', 1)]","[('type', 2), ('description', 1), ('class', 1)]"
39,grades,1.0,1.0,1.0,18,[],[]
40,industry,0.8,1.0,0.888888888888889,4,"[('description', 1)]",[]
41,isbn,1.0,1.0,1.0,38,[],[]
42,jockey,1.0,0.8666666666666667,0.9285714285714286,15,[],"[('name', 2)]"
43,language,0.8857142857142857,0.96875,0.9253731343283582,32,"[('order', 3), ('nationality', 1)]","[('class', 1)]"
44,location,0.9560439560439561,0.9648798521256932,0.9604415823367066,541,"[('city', 6), ('address', 3), ('description', 3), ('name', 3), ('team', 2)]","[('city', 4), ('name', 3), ('team', 3), ('state', 2), ('type', 1)]"
45,manufacturer,0.5,0.7,0.5833333333333334,10,"[('company', 4), ('category', 1), ('position', 1), ('owner', 1)]","[('genre', 1), ('rank', 1), ('address', 1)]"
46,name,0.9657320872274143,0.96875,0.967238689547582,1920,"[('artist', 9), ('type', 8), ('company', 5), ('description', 4), ('class', 4)]","[('artist', 8), ('album', 6), ('city', 6), ('type', 5), ('description', 5)]"
47,nationality,0.9166666666666666,0.6470588235294118,0.7586206896551724,17,"[('country', 1)]","[('country', 4), ('location', 1), ('language', 1)]"
48,notes,0.856,0.8842975206611571,0.8699186991869919,242,"[('class', 9), ('description', 5), ('status', 4), ('teamName', 2), ('city', 2)]","[('description', 12), ('class', 7), ('type', 7), ('category', 1), ('result', 1)]"
49,operator,1.0,0.8571428571428571,0.923076923076923,7,[],"[('name', 1)]"
50,order,0.6923076923076923,0.6,0.6428571428571429,15,"[('type', 1), ('description', 1), ('weight', 1), ('rank', 1)]","[('language', 3), ('rank', 2), ('notes', 1)]"
51,origin,0.7777777777777778,0.875,0.823529411764706,8,"[('country', 1), ('description', 1)]","[('description', 1)]"
52,owner,0.8,0.8,0.8000000000000002,25,"[('range', 3), ('description', 1), ('status', 1)]","[('artist', 2), ('notes', 1), ('manufacturer', 1), ('name', 1)]"
53,person,0.0,0.0,0.0,3,[],"[('name', 2), ('album', 1)]"
