,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.7889908256880734,0.864321608040201,0.8249400479616307,199,"[('location', 15), ('name', 5), ('team', 5), ('city', 3), ('type', 3)]","[('name', 5), ('team', 4), ('location', 4), ('city', 3), ('type', 3)]"
1,affiliate,0.6,0.21428571428571427,0.3157894736842105,14,"[('type', 1), ('class', 1)]","[('country', 3), ('team', 2), ('notes', 2), ('name', 1), ('status', 1)]"
2,affiliation,1.0,0.875,0.9333333333333333,40,[],"[('team', 2), ('status', 1), ('company', 1), ('year', 1)]"
3,age,0.9443734015345269,0.9846666666666667,0.9640992167101827,1500,"[('rank', 37), ('weight', 9), ('position', 7), ('year', 4), ('duration', 4)]","[('duration', 3), ('rank', 2), ('day', 2), ('weight', 2), ('type', 2)]"
4,album,0.7285223367697594,0.7335640138408305,0.7310344827586207,289,"[('name', 31), ('artist', 9), ('description', 8), ('category', 6), ('notes', 4)]","[('artist', 34), ('name', 24), ('team', 5), ('publisher', 2), ('category', 2)]"
5,area,0.9714285714285714,0.576271186440678,0.723404255319149,59,"[('collection', 1)]","[('description', 4), ('rank', 3), ('name', 3), ('team', 3), ('code', 2)]"
6,artist,0.73568281938326,0.8028846153846154,0.767816091954023,416,"[('album', 34), ('name', 26), ('category', 6), ('description', 6), ('type', 6)]","[('name', 45), ('album', 9), ('type', 8), ('team', 6), ('description', 3)]"
7,birthDate,0.9,0.8181818181818182,0.8571428571428572,11,"[('day', 1)]","[('description', 1), ('notes', 1)]"
8,birthPlace,0.9285714285714286,0.8666666666666667,0.896551724137931,15,"[('location', 1)]","[('location', 1), ('name', 1)]"
9,brand,0.75,0.41379310344827586,0.5333333333333333,29,"[('manufacturer', 2), ('category', 1), ('name', 1)]","[('artist', 4), ('type', 3), ('company', 2), ('team', 2), ('location', 1)]"
10,capacity,0.7142857142857143,0.38461538461538464,0.5,13,"[('status', 1), ('category', 1)]","[('age', 2), ('description', 1), ('code', 1), ('location', 1), ('range', 1)]"
11,category,0.9199491740787802,0.9141414141414141,0.9170360987967068,792,"[('type', 13), ('name', 10), ('description', 5), ('notes', 4), ('status', 3)]","[('type', 15), ('name', 11), ('genre', 6), ('artist', 6), ('album', 6)]"
12,city,0.8959276018099548,0.9158186864014801,0.9057639524245197,1081,"[('location', 32), ('name', 20), ('county', 19), ('team', 18), ('state', 11)]","[('team', 27), ('location', 19), ('name', 13), ('state', 12), ('county', 7)]"
13,class,0.8,0.6918238993710691,0.7419898819561551,318,"[('type', 32), ('year', 6), ('code', 4), ('address', 3), ('state', 2)]","[('type', 41), ('name', 14), ('year', 8), ('rank', 5), ('description', 4)]"
14,classification,1.0,0.7058823529411765,0.8275862068965517,17,[],"[('location', 1), ('album', 1), ('category', 1), ('language', 1), ('name', 1)]"
15,club,0.9585253456221198,0.9082969432314411,0.9327354260089685,458,"[('team', 7), ('rank', 2), ('city', 2), ('description', 1), ('company', 1)]","[('team', 23), ('notes', 4), ('name', 3), ('country', 3), ('state', 2)]"
16,code,0.9544592030360531,0.9195612431444241,0.9366852886405959,547,"[('symbol', 4), ('weight', 3), ('area', 2), ('order', 2), ('rank', 2)]","[('team', 8), ('symbol', 8), ('type', 5), ('class', 4), ('age', 2)]"
17,collection,0.9090909090909091,0.5555555555555556,0.6896551724137931,18,"[('location', 1)]","[('team', 2), ('category', 2), ('status', 1), ('artist', 1), ('type', 1)]"
18,command,0.625,0.45454545454545453,0.5263157894736842,11,"[('year', 1), ('code', 1), ('category', 1)]","[('name', 3), ('duration', 1), ('type', 1), ('rank', 1)]"
19,company,0.881578947368421,0.8195718654434251,0.8494453248811411,327,"[('name', 21), ('position', 2), ('brand', 2), ('type', 2), ('manufacturer', 2)]","[('name', 32), ('manufacturer', 7), ('team', 4), ('type', 3), ('artist', 2)]"
20,component,0.8636363636363636,0.5,0.6333333333333333,38,"[('description', 2), ('owner', 1)]","[('type', 7), ('description', 4), ('name', 3), ('notes', 2), ('category', 1)]"
21,continent,1.0,0.8,0.888888888888889,10,[],"[('country', 2)]"
22,country,0.8453038674033149,0.8360655737704918,0.8406593406593406,366,"[('team', 18), ('nationality', 7), ('affiliate', 3), ('location', 3), ('name', 3)]","[('team', 38), ('status', 4), ('type', 3), ('location', 3), ('address', 3)]"
23,county,0.918918918918919,0.7906976744186046,0.85,129,"[('city', 7), ('club', 1), ('state', 1)]","[('city', 19), ('team', 3), ('artist', 2), ('state', 2), ('name', 1)]"
24,creator,1.0,0.4444444444444444,0.6153846153846153,9,[],"[('name', 3), ('artist', 1), ('team', 1)]"
25,credit,0.75,0.625,0.6818181818181818,24,"[('name', 2), ('position', 1), ('notes', 1), ('rank', 1)]","[('name', 4), ('age', 1), ('artist', 1), ('category', 1), ('rank', 1)]"
26,currency,0.875,0.8235294117647058,0.8484848484848485,17,"[('symbol', 1), ('name', 1)]","[('code', 1), ('type', 1), ('team', 1)]"
27,day,0.9504950495049505,0.7619047619047619,0.8458149779735682,126,"[('age', 2), ('status', 2), ('position', 1)]","[('rank', 11), ('type', 3), ('position', 3), ('sex', 3), ('age', 3)]"
28,depth,0.7142857142857143,0.8823529411764706,0.7894736842105262,17,"[('rank', 3), ('product', 2), ('age', 1)]","[('age', 2)]"
29,description,0.9297153024911032,0.9162647961420429,0.922941046588651,2281,"[('name', 46), ('notes', 39), ('type', 14), ('product', 5), ('result', 5)]","[('name', 71), ('notes', 31), ('type', 19), ('album', 8), ('product', 7)]"
30,director,0.0,0.0,0.0,4,"[('name', 1)]","[('name', 4)]"
31,duration,0.8543046357615894,0.8835616438356164,0.8686868686868687,146,"[('rank', 5), ('weight', 3), ('age', 3), ('position', 2), ('year', 2)]","[('rank', 6), ('age', 4), ('year', 3), ('weight', 2), ('status', 1)]"
32,education,1.0,1.0,1.0,10,[],[]
33,elevation,0.9565217391304348,0.88,0.9166666666666666,50,"[('position', 1), ('age', 1)]","[('weight', 2), ('rank', 2), ('plays', 1), ('age', 1)]"
34,family,0.9375,0.6521739130434783,0.7692307692307693,23,"[('year', 1)]","[('rank', 3), ('type', 2), ('status', 1), ('company', 1), ('artist', 1)]"
35,fileSize,0.84,0.8076923076923077,0.8235294117647058,52,"[('rank', 3), ('class', 1), ('plays', 1), ('code', 1), ('state', 1)]","[('rank', 7), ('year', 2), ('age', 1)]"
