,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.8028846153846154,0.8391959798994975,0.8206388206388207,199,"[('location', 16), ('name', 10), ('description', 3), ('rank', 2), ('city', 2)]","[('city', 9), ('location', 6), ('class', 6), ('name', 5), ('notes', 3)]"
1,affiliate,0.0,0.0,0.0,14,[],"[('notes', 8), ('class', 4), ('team', 1), ('name', 1)]"
2,affiliation,0.9459459459459459,0.875,0.9090909090909091,40,"[('name', 1), ('service', 1)]","[('year', 2), ('type', 1), ('name', 1), ('city', 1)]"
3,age,0.9217171717171717,0.9733333333333334,0.946822308690013,1500,"[('rank', 56), ('position', 21), ('weight', 11), ('duration', 6), ('plays', 4)]","[('rank', 12), ('notes', 7), ('position', 5), ('duration', 3), ('weight', 3)]"
4,album,0.6888888888888889,0.7508650519031141,0.7185430463576158,289,"[('name', 46), ('artist', 18), ('description', 7), ('team', 5), ('genre', 3)]","[('name', 23), ('artist', 18), ('type', 7), ('team', 4), ('description', 4)]"
5,area,0.9411764705882353,0.5423728813559322,0.6881720430107526,59,"[('address', 1), ('county', 1)]","[('notes', 4), ('rank', 3), ('name', 3), ('city', 3), ('team', 2)]"
6,artist,0.7578692493946732,0.7524038461538461,0.7551266586248492,416,"[('name', 34), ('album', 18), ('company', 4), ('category', 3), ('team', 3)]","[('name', 52), ('album', 18), ('type', 9), ('team', 8), ('class', 5)]"
7,birthDate,0.9090909090909091,0.9090909090909091,0.9090909090909091,11,"[('class', 1)]","[('category', 1)]"
8,birthPlace,1.0,0.8,0.888888888888889,15,[],"[('location', 2), ('notes', 1)]"
9,brand,0.8,0.27586206896551724,0.4102564102564103,29,"[('manufacturer', 1), ('category', 1)]","[('type', 5), ('credit', 2), ('name', 2), ('company', 2), ('symbol', 1)]"
10,capacity,0.3333333333333333,0.46153846153846156,0.3870967741935484,13,"[('city', 5), ('state', 5), ('status', 1), ('category', 1)]","[('age', 2), ('description', 1), ('result', 1), ('rank', 1), ('duration', 1)]"
11,category,0.8629320619785459,0.9141414141414141,0.8877988963825874,792,"[('type', 20), ('description', 14), ('name', 13), ('component', 12), ('teamName', 7)]","[('type', 18), ('name', 12), ('status', 5), ('team', 5), ('notes', 3)]"
12,city,0.838599487617421,0.9084181313598519,0.8721136767317939,1081,"[('location', 49), ('team', 41), ('name', 26), ('state', 16), ('county', 13)]","[('team', 27), ('location', 17), ('name', 16), ('county', 12), ('notes', 5)]"
13,class,0.6232686980609419,0.7075471698113207,0.6627393225331369,318,"[('type', 41), ('year', 7), ('code', 7), ('notes', 7), ('position', 7)]","[('notes', 24), ('name', 17), ('type', 16), ('year', 10), ('rank', 8)]"
14,classification,1.0,0.4117647058823529,0.5833333333333334,17,[],"[('category', 4), ('state', 2), ('rank', 1), ('team', 1), ('notes', 1)]"
15,club,0.9070294784580499,0.8733624454148472,0.8898776418242492,458,"[('team', 27), ('symbol', 5), ('teamName', 2), ('location', 2), ('name', 2)]","[('team', 38), ('type', 4), ('class', 4), ('name', 3), ('notes', 2)]"
16,code,0.9763779527559056,0.906764168190128,0.9402843601895735,547,"[('symbol', 3), ('name', 2), ('state', 2), ('area', 1), ('isbn', 1)]","[('rank', 10), ('symbol', 10), ('class', 7), ('type', 4), ('team', 4)]"
17,collection,0.9,0.5,0.6428571428571429,18,"[('description', 1)]","[('team', 2), ('name', 2), ('category', 1), ('artist', 1), ('type', 1)]"
18,command,0.2631578947368421,0.45454545454545453,0.3333333333333333,11,"[('description', 8), ('name', 2), ('age', 1), ('rank', 1), ('service', 1)]","[('name', 2), ('type', 2), ('category', 1), ('description', 1)]"
19,company,0.9028776978417267,0.7675840978593272,0.8297520661157025,327,"[('name', 11), ('description', 4), ('manufacturer', 3), ('owner', 3), ('brand', 2)]","[('name', 36), ('manufacturer', 10), ('team', 8), ('artist', 4), ('notes', 4)]"
20,component,0.6666666666666666,0.21052631578947367,0.32,38,"[('description', 2), ('brand', 1), ('product', 1)]","[('category', 12), ('description', 8), ('type', 6), ('notes', 2), ('position', 1)]"
21,continent,1.0,0.7,0.8235294117647058,10,[],"[('country', 2), ('company', 1)]"
22,country,0.7734375,0.8114754098360656,0.792,366,"[('team', 45), ('nationality', 14), ('location', 6), ('origin', 4), ('state', 2)]","[('team', 39), ('notes', 8), ('state', 7), ('class', 5), ('type', 3)]"
23,county,0.816,0.7906976744186046,0.8031496062992125,129,"[('city', 12), ('team', 6), ('name', 2), ('state', 2), ('symbol', 1)]","[('city', 13), ('team', 4), ('name', 2), ('location', 2), ('type', 1)]"
24,creator,1.0,0.4444444444444444,0.6153846153846153,9,[],"[('name', 3), ('artist', 1), ('album', 1)]"
25,credit,0.5714285714285714,0.3333333333333333,0.4210526315789474,24,"[('brand', 2), ('category', 2), ('position', 1), ('artist', 1)]","[('name', 8), ('position', 3), ('artist', 2), ('age', 1), ('type', 1)]"
26,currency,0.8571428571428571,0.7058823529411765,0.7741935483870968,17,"[('symbol', 1), ('name', 1)]","[('symbol', 2), ('type', 1), ('team', 1), ('country', 1)]"
27,day,0.9897959183673469,0.7698412698412699,0.8660714285714286,126,"[('rank', 1)]","[('rank', 14), ('class', 2), ('sex', 2), ('age', 2), ('year', 2)]"
28,depth,0.5714285714285714,0.7058823529411765,0.6315789473684211,17,"[('rank', 2), ('age', 2), ('position', 1), ('ranking', 1), ('weight', 1)]","[('rank', 2), ('age', 1), ('weight', 1), ('name', 1)]"
29,description,0.9153674832962138,0.9009206488382289,0.9080866106937694,2281,"[('name', 63), ('notes', 37), ('type', 13), ('component', 8), ('location', 8)]","[('name', 72), ('notes', 31), ('type', 17), ('category', 14), ('location', 10)]"
30,director,0.0,0.0,0.0,4,[],"[('name', 4)]"
31,duration,0.8661971830985915,0.8424657534246576,0.8541666666666666,146,"[('rank', 5), ('age', 3), ('weight', 2), ('elevation', 2), ('capacity', 1)]","[('age', 6), ('year', 4), ('rank', 3), ('location', 3), ('weight', 2)]"
32,education,1.0,0.8,0.888888888888889,10,[],"[('description', 2)]"
33,elevation,0.9393939393939394,0.62,0.7469879518072288,50,"[('rank', 2)]","[('rank', 14), ('year', 2), ('duration', 2), ('weight', 1)]"
34,family,1.0,0.6521739130434783,0.7894736842105263,23,[],"[('rank', 3), ('type', 2), ('status', 2), ('city', 1)]"
35,fileSize,0.9090909090909091,0.7692307692307693,0.8333333333333333,52,"[('rank', 2), ('plays', 1), ('sales', 1)]","[('rank', 8), ('year', 2), ('age', 1), ('address', 1)]"
36,format,0.940677966101695,0.8473282442748091,0.891566265060241,131,"[('type', 3), ('country', 1), ('result', 1), ('genre', 1), ('description', 1)]","[('type', 5), ('weight', 3), ('product', 2), ('description', 2), ('artist', 2)]"
37,gender,0.9900990099009901,0.9009009009009009,0.9433962264150942,111,"[('type', 1)]","[('sex', 5), ('type', 3), ('category', 1), ('notes', 1), ('description', 1)]"
38,genre,0.6666666666666666,0.5161290322580645,0.5818181818181819,31,"[('category', 3), ('description', 2), ('format', 1), ('name', 1), ('brand', 1)]","[('type', 8), ('album', 3), ('description', 1), ('weight', 1), ('format', 1)]"
39,grades,1.0,1.0,1.0,39,[],[]
40,industry,0.8090909090909091,0.967391304347826,0.8811881188118811,92,"[('description', 7), ('name', 4), ('category', 3), ('position', 2), ('product', 1)]","[('category', 2), ('weight', 1)]"
41,isbn,1.0,0.9743589743589743,0.9870129870129869,39,[],"[('code', 1)]"
42,jockey,0.9333333333333333,0.7671232876712328,0.8421052631578947,73,"[('name', 3), ('artist', 1)]","[('name', 16), ('artist', 1)]"
